XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown,jumpButtonDown
-1.426287,6.799966,9.529819|1,0,0,-0.4,1,0,0
1.786956,6.794743,9.521159|1,0,0,-2.4,1,0,0
-5.41602,6.752324,9.475072|1,0,0.05,-0.5,1,0,0
-3.793386,6.5333,9.416443|1,0,0,-0.05,1,0,0
-2.777701,6.532189,9.404633|1,0,0,-0.45,1,0,0
-2.147763,6.546343,9.427759|1,-0.117057,0.1,-1.6,1,0,0
-6.139961,6.146247,9.475358|1,-0.252609,0.05,-1.05,1,0,0
-7.973191,5.965158,9.5503|1,-0.36303,0.05,-0.7,1,0,0
-7.377143,5.862272,9.733368|1,-0.505845,-0.05,-1,1,0,0
-10.28027,6.059419,9.804255|1,-0.614871,0,-0.1,1,0,0
-7.627431,6.224599,10.08592|1,-0.7574371,0.05,-0.45,1,0,0
-8.463968,6.061975,10.19051|1,-0.853269,0,-0.2,1,0,0
-6.618558,6.235487,10.55219|1,-1,0,0,1,0,0
-3.370052,6.458163,11.06668|1,-1,0,-0.3,1,0,0
-2.28696,6.605271,11.46489|1,-1,0,-1.75,1,0,0
-8.465918,6.603875,11.57777|1,-0.9402731,-0.05,-0.7,1,0,0
-10.40632,6.814948,11.67562|1,-0.8428061,-0.1,-0.8,1,0,0
-10.91724,7.28575,11.90759|1,-0.700177,-0.05,-0.25,1,0,0
-10.09157,7.535254,12.02839|1,-0.5447621,-0.05,-0.65,1,0,0
-10.81975,7.699877,11.94688|1,0,0,-0.1,1,0,0
-7.635018,7.632293,11.6371|1,0.237174,0,0,1,0,0
-5.837477,7.588739,11.46779|1,0.330753,0,0,1,0,0
-4.961476,7.560292,11.37023|1,0.4409789,0,0,1,0,0
-3.241357,7.491952,11.15651|1,0.535998,0,0,1,0,0
-1.573212,7.407773,10.91827|1,0.6781409,0,-0.5,1,0,0
-1.975957,7.303368,10.65442|1,0.7952131,0,-0.7,1,1,0
-2.514505,7.118964,10.21809|1,0.9324151,-0.05,-0.7,1,0,0
-3.837982,7.175999,9.913554|1,1,0,-0.15,1,0,0
-2.075657,6.96596,9.465775|1,1,-0.1,-2.55,1,0,0
-23.21515,11.63858,36.32454|1,1,0.1,-2.05,1,0,0
-31.23512,11.05845,35.94016|1,0.9063761,-0.1,-1.55,1,0,0
-37.13531,11.05704,35.36844|1,0.689842,-0.05,-1.35,1,0,0
-41.81082,10.64618,34.96481|1,0,0,0,1,0,0
-40.67316,10.65185,34.56034|1,-0.1920869,0,0,1,0,0
-40.37592,10.65508,34.47124|1,-0.2506319,0,0,1,0,0
-40.06502,10.65944,34.39993|1,-0.350775,0,0,1,0,0
-39.08836,10.67719,34.26772|1,-0.5061749,0,0,1,0,0
-38.42498,10.69047,34.21452|1,-0.6035669,0,0,1,0,0
-37.088,10.72315,34.25724|1,-0.8637208,-0.05,-2.15,1,0,0
-44.68446,10.71864,34.25529|1,-1,0.25,-5.6,1,0,0
-66.46179,8.238689,34.10691|1,-1,0.75,-6,1,0,0
-89.81558,-73.69103,33.64428|1,-0.8299481,0.55,-5.25,1,0,0
-110.5946,-169.6644,33.05824|1,-0.651511,0.2,-2.15,1,0,0
-119.71,171.5598,32.53577|0.843514,0,0,0,1,0,0
-119.9231,171.5642,32.3763|0.747622,0.09589201,0.1,0.25,1,0,0
-119.4314,171.8962,32.09667|0.6510521,0.1924619,0.05,2.15,1,0,0
-111.3831,-171.058,31.84121|0.5410782,0.3024359,-0.1,3.7,1,0,0
-97.17381,-163.1438,31.61097|0.3998051,0.4437089,-0.1,3.45,1,0,0
-83.96661,-7.834212,31.37897|0.301765,0.541749,-0.5,3.15,1,0,0
-71.99942,3.053386,31.17732|0.1474091,0.6961049,-0.45,4.55,1,0,0
-54.37563,7.057191,30.92736|0.03881806,0.804696,-0.05,0.75,1,0,0
-52.25462,7.351005,30.55643|0,0.947937,-0.1,0.65,1,0,0
-49.94164,7.86055,30.42733|0,1,-0.05,1.65,1,0,0
-44.12833,8.271893,29.9938|0,1,-0.2,3.75,1,0,0
-29.31539,9.437652,29.81925|0,1,-0.05,1.15,1,0,0
-25.20638,9.670037,29.27529|0,1,0,0.1,1,0,0
-25.13894,9.649339,28.91268|0,1,0,0.15,1,0,0
-24.87234,9.630882,28.54929|0,1,0.05,0.6,1,0,0
-22.78321,9.436339,28.18008|0,1,0.05,2.95,1,0,0
-11.14035,9.319243,27.78751|0,1,0.05,2.55,1,0,0
-0.9540861,9.126601,27.38757|0,1,0,0,1,0,0
-0.9681343,9.101808,26.98762|0,1,0,0,1,0,0
-0.9825793,9.076298,26.58768|0,1,0,0,1,0,0
-1.005221,9.036486,25.98777|0,1,0,0,1,0,0
-1.01317,9.02282,25.7878|0,1,0,0,1,0,0
-1.037409,8.980497,25.1879|0,1,0,0,1,0,0
-1.053877,8.951156,24.78796|0,1,0.2,-0.7,1,0,0
-3.885444,8.132191,24.58842|0,1,0.2,-0.65,1,0,0
-6.647296,7.277343,23.99236|0,1,0,-0.1,1,0,0
-7.16648,7.242888,23.59543|0,1,0,0,1,0,0
-7.289735,7.20884,23.19861|0,1,0,0,1,0,0
-7.417275,7.173675,22.8019|0,1,0,0,1,0,0
-7.549305,7.137211,22.40531|0,1,0,0,1,0,0
-7.686127,7.0994,22.00883|0,1,0,0,1,0,0
-7.431231,7.022164,21.21463|0.257898,1,0,0,1,0,0
-6.981598,6.963509,20.63754|0.4263539,1,0,0,1,0,0
-6.794541,6.943791,20.44911|0.4981261,1,0,0,1,0,0
-6.340782,6.904813,20.08273|0.582618,1,0,0,1,0,0
-5.757145,6.867271,19.73795|0.7403249,1,0,0,1,0,0
-5.088234,6.830471,19.40965|0.8470021,1,0,0,1,0,0
-4.326716,6.795032,19.10222|0.982113,1,0,0,1,0,0
-3.532248,6.758799,18.80066|1,1,0,-0.2,1,0,0
-3.111246,6.699956,18.34972|1,1,0.05,-0.55,1,0,0
-4.500106,6.453516,18.04371|1,1,0,-0.2,1,0,0
-4.474746,6.409737,17.7378|1,1,0.05,-0.25,1,0,0
-3.77128,6.120068,17.12829|1,1,0.25,-0.8,1,0,0
-6.131653,5.060434,16.81501|1,1,0.05,-0.3,1,0,0
-6.911287,4.830226,16.65715|1,1,0,-0.05,1,0,0
-6.250028,4.7809,16.34332|1,1,0,0,1,0,0
-5.35533,4.73102,16.03332|1,1,0,0,1,0,0
-4.425539,4.679396,15.72738|1,1,0,0,1,0,0
-2.961674,4.59832,15.27663|1,1,0,0,1,0,0
-1.937247,4.541699,14.98195|1,1,0,0,1,0,0
-0.8720036,4.482924,14.69224|1,1,0.05,-0.05,1,0,0
0.02797646,4.221646,14.40683|1,1,0.1,-0.35,1,0,0
-0.2486604,3.757183,14.12001|1,1,0.1,-0.25,1,0,0
-0.1008706,3.290274,13.83384|1,1,0.05,-0.15,1,0,0
0.4784724,3.021159,13.55043|1,1,0.1,-0.25,1,0,0
0.6887025,2.549217,13.26798|1,1,0.05,-0.95,1,1,0
-1.931379,2.269175,12.97296|1,1,-0.1,-0.95,1,0,0
-3.38414,2.491436,12.36398|1,1,-0.2,-0.7,1,0,0
-4.373451,3.143546,11.90243|1,1,0,0,1,0,0
-3.738479,3.097183,11.75136|1,1,0,0,1,0,0
-2.418728,3.001005,11.45371|1,1,0,0,1,0,0
-1.029266,2.900026,11.16246|1,1,0,0,1,0,0
0.4329587,2.793863,10.87813|1,1,-0.05,-0.2,1,0,0
1.152839,2.881947,10.59721|1,1,-0.05,-0.1,1,0,0
2.343765,2.964515,10.32208|1,1,-0.05,-0.05,1,0,0
3.913065,3.049601,10.07544|1,0.8721461,-0.1,-0.3,1,0,0
4.626223,3.343222,9.853352|1,0.764278,-0.2,-0.4,1,0,0
7.401731,3.971974,9.550964|1,0.5184789,-0.45,-1.05,1,0,0
4.398014,5.804579,9.564221|1,0,-0.1,-0.35,1,0,0
5.338765,6.236588,9.642348|1,-0.1244191,-0.25,-0.55,1,0,0
5.38707,7.295788,9.76496|1,-0.2416411,-0.25,-0.9,1,0,0
5.241833,8.34412,9.864466|1,-0.1055762,-0.2,-0.75,1,0,0
4.558403,9.159978,9.888189|1,0,0,-0.05,1,0,0
8.942438,9.161222,9.980915|1,0,-0.1,-1.4,1,1,0
6.764831,9.60961,10.03379|1,0,0.05,-2.6,1,0,0
-2.494106,9.432277,10.0231|1,0,0.05,-0.8,1,0,0
-1.116976,9.214009,9.975537|1,0,0.05,-1.45,1,0,0
-3.475136,8.981417,9.921172|1,0,0.2,-2.85,1,0,0
-13.75314,8.030768,9.871728|1,0,0,-0.55,1,0,0
-13.69698,7.982124,9.769355|1,0,0,0,1,0,0
-11.39669,7.982172,9.682443|1,0,0,0,1,0,0
-9.05855,7.982172,9.611403|1,0,0,0,1,1,0
-6.689616,7.982172,9.556593|1,0,0,0,1,0,0
-1.890205,7.982148,9.496696|1,0,0,0,1,0,0
1.730427,7.982148,9.49586|1,0,0,-0.3,1,0,0
1.736523,7.984139,9.499821|1,0,-0.1,-1.65,1,1,0
-0.02797646,8.369029,9.46562|1,0,-0.3,-2.4,1,0,0
-6.01842,9.500301,9.383891|1,0,-0.05,-0.35,1,0,0
-3.760361,9.686208,9.325416|1,0,-0.1,-0.55,1,0,0
-2.274172,10.07025,9.282318|1,0,0,-0.25,1,1,0
0.4320539,10.06607,9.267429|1,0,-0.05,-0.05,1,0,0
1.468071,10.26619,9.270393|1,0,-0.05,-0.45,1,0,0
2.13918,10.46772,9.276701|1,0,-0.1,-1.45,1,0,0
1.146713,10.75041,9.055635|1,0.2636551,-0.45,-3.2,1,1,0
-5.650312,-12.04717,8.268985|1,0.630732,-0.2,-1.8,1,0,0
