XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
-15.33661,-2.508192,5.832705|0.8657828,0,0,0,0,0
-13.42379,-1.266714,5.783066|0.9602919,0,0,0,0,0
-11.48003,-2.139637,5.73997|1,0,0,0,0,0
-10.07983,-3.727201,5.626005|1,0.2172809,-0.15,-0.35,0,0
-9.617544,-4.490782,5.5417|1,0.2829959,-0.05,-0.35,0,0
-10.70164,-5.006994,5.494481|1,0.3451651,-0.1,-0.5,0,0
-12.63356,-5.691543,5.43838|1,0.44295,-0.05,-0.7,0,0
-11.48685,-5.965717,5.300548|0.891373,0.551577,-0.05,-0.1,0,0
-10.11332,-4.893408,5.144623|0.778381,0.664569,0,0,0,1
-57.20884,-53.08595,1.096771|0.582247,0.860703,0,0,0,0
-63.24315,-60.66762,1.090787|0.4994919,0.9434581,0,0,0,0
-67.37025,-65.72294,1.09242|0.6136178,0.8293322,-0.5,-0.45,0,0
-73.07497,-77.86672,1.102122|0.5225888,0.7383032,-0.15,-0.15,0,0
-66.22109,-64.33413,1.091032|0.3543728,0,0,0,0,0
-56.84453,-51.69097,1.075589|0.2114917,-0.1428811,0,0,0,0
-46.23775,-43.5257,1.107846|0.1263908,-0.227982,0,0,0,0
-41.13692,-40.45481,1.12984|0.1953098,-0.296901,0,0,0,0
-36.53317,-37.76679,1.168785|0.2842568,-0.3858481,0,0,0,0
-23.77412,-33.14057,1.234957|0.3890167,-0.490608,-0.15,0.9,0,0
-3.132754,-29.66851,1.334217|0.5216137,-0.623205,0,3.2,0,0
29.78698,-22.27045,1.640557|0.7261568,-0.8277481,-0.7,5.75,0,0
30.86341,-19.74361,1.737674|0.7843989,-0.8859901,-0.05,0.1,0,0
31.46494,-16.55672,1.835047|0.8818027,-0.983394,0,0,0,0
32.76772,-10.59608,2.028831|0.9894097,-1,0,0,0,0
33.86558,-9.772698,2.223544|1,-1,0,0,0,0
29.9446,-8.543506,2.321238|1,-1,-0.35,-1.1,0,0
18.66165,-6.750204,2.610836|1,-1,-0.15,-3.25,0,0
16.40647,-6.743402,2.700482|1,-1,0.05,-0.8,0,0
14.90788,-8.109538,2.882028|0.889432,-1,0.15,-0.8,0,0
16.00732,-7.858527,3.065826|0.7950251,-1,0,-0.1,0,0
16.39725,-6.94783,3.160321|0.698767,-1,0.05,-0.05,0,0
16.06787,-3.966399,3.353654|0.603781,-1,0.05,-0.3,0,0
13.38832,-1.518267,3.651328|0.4122189,-1,0.2,-0.8,0,1
32.83914,-3.90194,3.394721|0.350386,-1,0,0,0,0
31.8184,-0.4015385,3.584452|0.2541521,-1,0,0,0,0
31.26172,0.234068,3.677862|0.1930179,-1,0,0,0,0
28.79574,1.527775,3.767883|0.09348398,-1,-0.35,-0.45,0,0
23.13893,1.02412,4.032918|0,-1,-0.25,-0.9,0,0
16.06894,0.8545501,4.363541|-0.22266,-1,-0.15,-1,0,0
13.12394,0.7674484,4.454225|-0.1577311,-1,0,-0.6,0,0
9.524232,1.379275,4.549057|-0.09368402,-1,-0.05,-0.8,0,0
3.124306,3.945609,4.746174|0,-1,-0.15,-1.5,0,0
-0.6019843,6.08589,4.945663|0,-0.884674,-0.05,-0.9,0,0
-7.56766,7.702936,5.245342|0,-0.6941529,0.1,-1.75,0,0
